"filename", "language", "Python", "pip requirements", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\README.md", "Markdown", 0, 0, 0, 3, 0, 2, 5
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\camera.py", "Python", 74, 0, 0, 0, 10, 39, 123
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\client.py", "Python", 16, 0, 0, 0, 1, 7, 24
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\create_map.ipynb", "JSON", 0, 0, 295, 0, 0, 1, 296
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\create_map.py", "Python", 112, 0, 0, 0, 11, 45, 168
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\get_pi_video.py", "Python", 45, 0, 0, 0, 1, 5, 51
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\light.py", "Python", 12, 0, 0, 0, 2, 3, 17
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\main_client.py", "Python", 135, 0, 0, 0, 22, 35, 192
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\main_server.py", "Python", 166, 0, 0, 0, 28, 43, 237
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\mesh.py", "Python", 10, 0, 0, 0, 0, 3, 13
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\model.py", "Python", 124, 0, 0, 0, 28, 62, 214
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\objects\cat\20430_Cat_v1_NEW.obj.json", "JSON", 0, 0, 15, 0, 0, 0, 15
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\requirements.txt", "pip requirements", 0, 5, 0, 0, 0, 1, 6
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\scene.py", "Python", 35, 0, 0, 0, 21, 18, 74
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\scene_renderer.py", "Python", 28, 0, 0, 0, 5, 12, 45
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\server.py", "Python", 18, 0, 0, 0, 2, 9, 29
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\shader_program.py", "Python", 18, 0, 0, 0, 0, 7, 25
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\texture.py", "Python", 49, 0, 0, 0, 3, 10, 62
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\vao.py", "Python", 41, 0, 0, 0, 9, 13, 63
"c:\Users\VMG-Common\Pictures\camera_stuff\3D-Graphics-Engine-main\vbo.py", "Python", 137, 0, 0, 0, 2, 49, 188
"Total", "-", 1020, 5, 310, 3, 145, 364, 1847
